"filename", "language", "JSON", "Ignore", "JSON with Comments", "JavaScript", "Markdown", "SQLite", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\notifications\utils\notification-service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 131, 0, 29, 160
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\shop\components\rarity-badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 5, 36
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\shop\components\shop-item-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 126, 0, 1, 7, 134
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\shop\stores\shop-store.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 95, 5, 25, 125
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\social\hooks\use-leaderboard.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 55, 2, 11, 68
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\social\stores\challenges-store.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 95, 0, 13, 108
"c:\Users\Boungo\Desktop\perso\levelUp\src\features\social\stores\friends-store.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 107, 4, 24, 135
"c:\Users\Boungo\Desktop\perso\levelUp\src\lib\constants\categories.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 21, 0, 5, 26
"c:\Users\Boungo\Desktop\perso\levelUp\src\lib\constants\game-config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 61, 1, 9, 71
"c:\Users\Boungo\Desktop\perso\levelUp\src\lib\storage\mmkv.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 18, 0, 4, 22
"c:\Users\Boungo\Desktop\perso\levelUp\src\lib\supabase\client.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 30, 0, 5, 35
"c:\Users\Boungo\Desktop\perso\levelUp\src\lib\supabase\types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 659, 2, 10, 671
"c:\Users\Boungo\Desktop\perso\levelUp\src\types\habit.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 23, 0, 4, 27
"c:\Users\Boungo\Desktop\perso\levelUp\src\types\user.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
"c:\Users\Boungo\Desktop\perso\levelUp\src\ui\animations\completion-burst.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 0, 11, 84
"c:\Users\Boungo\Desktop\perso\levelUp\src\ui\animations\level-up-overlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 132, 0, 4, 14, 150
"c:\Users\Boungo\Desktop\perso\levelUp\src\ui\animations\xp-toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 2, 11, 87
"c:\Users\Boungo\Desktop\perso\levelUp\src\ui\components\pixel-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 75, 0, 0, 4, 79
"c:\Users\Boungo\Desktop\perso\levelUp\src\ui\components\pixel-input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 48, 0, 0, 4, 52
"c:\Users\Boungo\Desktop\perso\levelUp\src\ui\theme\themes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 81, 0, 4, 85
"c:\Users\Boungo\Desktop\perso\levelUp\src\ui\theme\tokens.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 40, 0, 4, 44
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\00001_create_profiles.sql", "SQLite", 0, 0, 0, 0, 0, 21, 0, 0, 6, 6, 33
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\00002_create_habits.sql", "SQLite", 0, 0, 0, 0, 0, 23, 0, 0, 4, 7, 34
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\00003_create_completions.sql", "SQLite", 0, 0, 0, 0, 0, 27, 0, 0, 4, 5, 36
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\00004_create_streaks.sql", "SQLite", 0, 0, 0, 0, 0, 36, 0, 0, 4, 6, 46
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260329104340_create_profile_trigger.sql", "SQLite", 0, 0, 0, 0, 0, 18, 0, 0, 1, 2, 21
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260329104829_add_increment_xp_function.sql", "SQLite", 0, 0, 0, 0, 0, 25, 0, 0, 4, 3, 32
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260405140000_v1_social_and_currency.sql", "SQLite", 0, 0, 0, 0, 0, 95, 0, 0, 30, 25, 150
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260405160000_v2_shop_and_avatar.sql", "SQLite", 0, 0, 0, 0, 0, 125, 0, 0, 34, 36, 195
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260405170000_achievements.sql", "SQLite", 0, 0, 0, 0, 0, 59, 0, 0, 17, 14, 90
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260405171000_add_gold_rpc.sql", "SQLite", 0, 0, 0, 0, 0, 11, 0, 0, 1, 1, 13
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260405180000_punishment_rpc.sql", "SQLite", 0, 0, 0, 0, 0, 36, 0, 0, 4, 4, 44
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260405190000_extended_cosmetics.sql", "SQLite", 0, 0, 0, 0, 0, 19, 0, 0, 6, 2, 27
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260405200000_daily_quests.sql", "SQLite", 0, 0, 0, 0, 0, 155, 0, 0, 30, 33, 218
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260406100000_habit_content.sql", "SQLite", 0, 0, 0, 0, 0, 9, 0, 0, 3, 3, 15
"c:\Users\Boungo\Desktop\perso\levelUp\tsconfig.json", "JSON with Comments", 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"Total", "-", 16223, 9, 19, 30, 296, 659, 4866, 2992, 341, 1088, 26523
